Date,ColorKey,LocationKey,Value
2014-02-08,1,1,1026.43
2014-01-06,2,2,458.08
2016-11-27,3,3,165.71
2020-08-20,4,4,170.52
2014-06-24,5,5,143.21
2017-11-04,1,6,1018.9
2016-10-23,2,7,842.35
2019-01-25,3,8,372.78
2021-08-02,4,9,158.38
2021-03-09,5,1,219.6
2018-07-12,1,2,489.0
2020-09-05,2,3,927.38
2015-09-13,3,4,200.7
2017-10-18,4,5,207.91
2022-04-20,5,6,184.35
2015-01-13,1,7,932.23
2013-09-14,2,8,1830.9
2021-12-19,3,9,183.26
2019-07-13,4,1,199.48
2017-01-02,5,2,107.6
2021-04-16,1,3,975.39
2019-03-12,2,4,885.39
2014-03-30,3,5,157.93
2017-07-13,4,6,231.53
2018-04-07,5,7,174.28
2021-11-18,1,8,1974.43
2017-08-23,2,9,896.2
2017-11-21,3,1,189.43
2022-08-12,4,2,116.97
2015-05-12,5,3,200.04
2022-01-28,1,4,1013.27
2016-05-19,2,5,948.11
2014-04-19,3,6,196.48
2014-06-20,4,7,163.65
2019-02-16,5,8,414.45
2021-09-05,1,9,980.24
2014-12-15,2,1,886.59
2020-07-19,3,2,84.22
2017-08-04,4,3,257.22
2019-05-06,5,4,162.54
2021-07-24,1,5,1004.49
2020-11-27,2,6,950.62
2020-12-16,3,7,178.78
2022-01-14,4,8,400.99
2014-07-25,5,9,198.29
2022-08-18,1,1,1006.1
2019-09-03,2,2,475.93
2017-02-18,3,3,198.73
2020-03-28,4,4,214.95
2022-04-30,5,5,202.12
2021-05-28,1,6,1047.7
2013-09-07,2,7,855.41
2019-02-13,3,8,385.52
2015-03-12,4,9,217.4
2017-05-28,5,1,190.06
2022-05-11,1,2,513.71
2021-04-25,2,3,870.41
2013-08-18,3,4,255.48
2014-01-08,4,5,197.12
2016-08-03,5,6,197.32
2018-04-26,1,7,929.73
2018-08-26,2,8,1814.25
2015-01-30,3,9,237.92
2016-12-17,4,1,248.15
2016-03-30,5,2,155.96
2017-09-25,1,3,1033.84
2015-03-29,2,4,888.09
2013-04-25,3,5,187.68
2015-09-25,4,6,216.6
2020-04-03,5,7,178.4
2014-02-15,1,8,1934.35
2014-07-01,2,9,935.12
2020-02-27,3,1,228.28
2015-06-26,4,2,93.76
2018-10-17,5,3,180.81
2019-02-09,1,4,1053.66
2021-12-25,2,5,857.12
2016-03-06,3,6,238.82
2014-01-23,4,7,157.08
2016-03-14,5,8,373.93
2019-12-06,1,9,1039.5
2016-05-12,2,1,878.99
2014-03-25,3,2,76.61
2015-02-01,4,3,194.48
2022-05-25,5,4,198.85
2017-04-06,1,5,1010.49
2020-08-13,2,6,847.09
2014-12-21,3,7,143.87
2021-10-02,4,8,389.78
2015-02-11,5,9,182.35
2017-12-06,1,1,999.34
2021-11-27,2,2,494.44
2019-02-06,3,3,170.38
2018-11-30,4,4,215.51
2013-03-15,5,5,204.33
2020-04-09,1,6,951.95
2014-06-08,2,7,820.58
2020-08-04,3,8,360.75
2015-10-20,4,9,244.71
2019-06-26,5,1,195.01
2017-12-11,1,2,463.41
2018-01-24,2,3,905.14
2019-02-27,3,4,243.3
2020-01-11,4,5,222.41
2021-10-10,5,6,171.97
2022-04-15,1,7,964.14
2020-12-06,2,8,1813.54
2015-10-28,3,9,212.79
2014-08-31,4,1,169.37
2015-01-24,5,2,146.3
2019-08-07,1,3,1038.28
2015-05-02,2,4,908.29
2015-12-17,3,5,171.38
2017-05-27,4,6,233.16
2016-08-14,5,7,167.39
2019-04-11,1,8,2024.62
2019-01-06,2,9,908.07
2013-01-16,3,1,242.39
2013-09-12,4,2,146.33
2022-12-26,5,3,228.36
2021-03-07,1,4,949.91
2015-07-30,2,5,942.14
2020-07-27,3,6,224.19
2019-01-09,4,7,183.05
2017-08-24,5,8,466.81
2018-12-15,1,9,1052.95
2013-01-27,2,1,950.72
2020-06-29,3,2,84.39
2014-08-18,4,3,212.33
2016-03-22,5,4,238.68
2018-05-02,1,5,1010.89
2015-06-29,2,6,879.42
2022-01-22,3,7,182.71
2020-01-20,4,8,380.79
2018-12-21,5,9,148.91
2019-01-21,1,1,998.86
2020-01-07,2,2,420.34
2015-06-22,3,3,157.95
2015-11-19,4,4,163.86
2022-07-08,5,5,173.02
2014-08-10,1,6,980.43
2017-07-27,2,7,833.45
2018-05-13,3,8,364.47
2016-12-16,4,9,251.11
2017-09-22,5,1,254.4
2021-11-04,1,2,502.33
2018-02-26,2,3,907.64
2017-11-10,3,4,194.77
2019-03-13,4,5,209.73
2017-02-01,5,6,227.11
2018-09-23,1,7,928.24
2015-06-25,2,8,1792.46
2017-02-06,3,9,219.9
2019-05-27,4,1,217.3
